% Model,BulbHydroForce.mph
% Version,COMSOL 6.0.0.405
% Date,"May 15 2025, 19:04"
% Table,Calcul des Forces - 
% angle (deg),FxTot (N),FyTot (N),FzTot (N),FxUp (N),FyUp (N),FzUp (N),FxWing (N),FyWing (N),FzWing (N)
0,5.185335751941913,-0.3724789603311953,0.8057912550800506,1.9254198106908929,0.09317477643632444,3.824894534873984E-4,4.3129403759476075,0.2087114992173742,8.567763758118747E-4
4,7.541785236211528,-44.023719200404415,1.1328479246103191,2.9591606398825694,-19.112394403412384,2.800995969886623E-4,6.628519833336966,-42.81176346364376,6.27423097254597E-4
8,14.194544232419005,-80.0370740536243,1.9875423301977455,5.682196375887882,-35.16517289811301,-0.0015185500365371644,12.728119881988837,-78.76998729177306,-0.0034015520818432496
12.000000000000002,23.721164039979826,-102.23217392069195,3.277735522549708,9.7770045919902,-45.091058717636585,-0.004789917588161703,21.90049028605801,-101.00397152750567,-0.010729415397482216
16,35.522232634038815,-105.57131161629168,4.826786674205109,14.497364996707008,-45.5574161707932,-9.84529389957503E-4,32.47409759262362,-102.04861222257676,-0.0022053458335046967
